127.0.0.1 - - [21/Nov/2020:13:27:26 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:27:27 -0500] "GET /back_end/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:27:27 -0500] "GET /back_end/logo.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:27:41 -0500] "GET /back_end/add?num1=45&num2=5 HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:42:13 -0500] "GET /back_end/ChangePassword/changePassword.html HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:42:13 -0500] "GET /back_end/ChangePassword/styles.css HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:42:13 -0500] "GET /HomePage/logo.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:42:34 -0500] "GET /back_end/ChangePassword/changePassword.html?newPassword=sajajd&newPasswordCheck=sajjad HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:42:34 -0500] "GET /HomePage/logo.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:42:43 -0500] "GET /back_end/ChangePassword/changePassword.html?newPassword=&newPasswordCheck= HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:42:43 -0500] "GET /HomePage/logo.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:46:41 -0500] "GET /back_end/DoctorProfile/EditDoctorProfile/editDoctorProfile.html HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:46:41 -0500] "GET /back_end/DoctorProfile/EditDoctorProfile/styles.css HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:46:41 -0500] "GET /HomePage/logo.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:47:13 -0500] "GET /back_end/DoctorProfile/doctorProfile.html HTTP/1.1" 200 3124
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:47:13 -0500] "GET /back_end/DoctorProfile/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:47:13 -0500] "GET /HomePage/logo.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:48:43 -0500] "GET /back_end/LoginPage/login.html HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:48:43 -0500] "GET /back_end/LoginPage/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:13:48:44 -0500] "GET /back_end/HomePage/logo.png HTTP/1.1" 200 3530
